PROJECT,count
N/A - Non Project Specific - N/A - Non Project Specific,8090
NA - N/A - Non Project Specific,1647
034693C009 - YAMAL LNG,1493
nan,422
079322C006 - EPC ARCTIC LNG 2  - DIRECTORATE Paris,369
067183C004 - 02529 - TAP PMC PROJECT (Greece Branch),353
034098C005 - SASOL LAKE CHARLES,338
067183C003 - 02529 - TAP PMC PROJECT (Albania Branch),313
063950C001 - KAOMBO PROJECT,277
076551C004 - BMP - BAPCO MODERNIZATION PROGRAM,255
077524C001 - Mero I,176
033968C001 - MOHO NORD DEVELOPMENT PROJECT,175
065355C001 - UIO EPCM-KL DEC Reimbursable,168
069103C001 - 02542 - AZERIKIMYA MODERNIZATION PROJECT,156
067821C001 - Greater Enfield Subsea EPCI.,153
066034C008 - MIDOR REFINERY EXPANSION - CONSTRUCTION,144
063301C002 - BP JUNIPER EPCI,133
071259C001 - Coral South Development Project - OFFSHORE VI+PreEPCIC activities,131
064081C002 - Mellitah Bahr Essalam Phase II,125
071475C002 - NOBLE LEVIATHAN FIELD DEVELOP,124
076328C002 - EPCIC Karish Gas Development,123
069096C001 - 02546 - UNIPETROL - POLYETHYLENE PLANT LITVINOV,120
022650G040 - TechnipFMC,95
071973C001 - JEBEL ALI REFINERY EXPANSION PROJECT,94
033316A001 - Skandi Vitoria,85
078553C002 - POWERNAP LNTP,81
067183C002 - 02529 - TAP PMC PROJECT (Italy),81
035657C001 - Technip-DeepOcean PRS JV,78
077135J001 - 958 - BLADE EPC PROJECT,72
032551C001 - BASE VITÃ³RIA - BAVIT,71
